THE BUILDERS STOP LIMITED
"Distributor List 
 
"
"Company1:29CARLIBAYROAD,COUVA,,GSTNO:00000
All Company,All Division,1977,Engineering and Clean Technologies Ld,,,AREA,22A Assaraff Road,Charlieville,,0,,207-5982,,,,,Chaguanas,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-07-08 14:51:36,2024-10-10 12:06:33,1,0.00,No,No,,No,0.00
All Company,All Division,3030,Express Roofing Company Ltd,,,AREA,,,,0,,221-6573,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-09-25 15:42:23,,1,0.00,No,No,,No,0.00
All Company,All Division,1769,F&N Fab Shop,,,AREA,,,,0,,,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-05-09 08:33:34,,1,0.00,No,No,,No,0.00
All Company,All Division,2891,Fair & Square,,,AREA,CHAGUANAS,,,0,,672-2174,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-07-25 08:41:21,,1,0.00,No,No,,No,0.00
All Company,All Division,1173,FCMC (FIRST CARIBBEAN MARKETING COMPANY LTD),,,AREA,TRINCITY,,,0,,495-2891/692-6358,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-12-05 09:14:07,,1,0.00,No,No,,No,0.00
All Company,All Division,2979,Ferguson Trinidad and Tobago Limited,,,AREA,Churchhill Roosevelt Highway Tunapuna,,,0,,662-5041,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,LINDSAY,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-08-30 08:47:17,,1,0.00,No,No,,No,0.00
All Company,All Division,168,First Class Plumbing & Hardware Ltd,,,AREA,33 Mondesir Rd South Oropouche,,,0,,704-7293,322-1306,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Ashook,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:57:43,,1,0.00,No,No,,No,0.00
All Company,All Division,1345,Franklyn Harripaul,,,AREA,,,,0,,380-6299,,,,,San Fernando,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-01-25 14:59:07,,1,0.00,No,No,,No,0.00
All Company,All Division,771,FT FARFAN LTD,,,AREA,3-5 IBIS AVENUE SAN JUAN,,,0,,674-7896/7363,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,RORY,,,Material & Service,,0,2023-09-22 15:49:06,,1,0.00,No,No,,No,0.00
All Company,All Division,1054,GARIB BOLT & NUT,,,AREA,,,,0,,,334-2528,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-11-06 16:21:23,,1,0.00,No,No,,No,0.00
All Company,All Division,1085,GAZ ENTERPRISES,,,AREA,,,,0,,775-6424,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-11-14 16:06:47,,1,0.00,No,No,,No,0.00
All Company,All Division,3002,Geewan,,,AREA,,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-09-11 14:02:04,,1,0.00,No,No,,No,0.00
All Company,All Division,3047,General Stores Limited,,,AREA,2 High Street,,,0,,652-7972,346-7602,,,,San Fernando,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Bush,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-10-01 09:25:07,,1,0.00,No,No,,No,0.00
All Company,All Division,646,Ghanys Industrial Park Ltd.,,,AREA,Lot 9A New Trincity Industrial Estate,,,0,,225-5435,,,,,Trincity,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Sophia,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-05 14:33:11,,1,0.00,No,No,,No,0.00
All Company,All Division,1689,Gopaul Lands Hardware(1991) Ltd,,,AREA,Marabella,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-04-17 16:10:11,,1,0.00,No,No,,No,0.00
All Company,All Division,887,Gopauls Toys And Babys World Ltd,,,AREA,Marabella,,,0,,610-8697,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-10 15:17:39,,1,0.00,No,No,,No,0.00
All Company,All Division,426,H&R Supplies Limited,,,AREA,45 Endeavour Ext Rd Chaguanas,,,0,,665-9987/672-1932,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-31 10:13:31,,1,0.00,No,No,,No,0.00
All Company,All Division,754,Hand Arnold,,,AREA,,,,0,,,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-21 12:13:40,2023-09-21 12:14:10,1,0.00,No,No,,No,0.00
All Company,All Division,270,Handy Adhesive Solutions Ltd,,,AREA,Churchill Roosevelt Highway,,,0,,868-638-7245,868-341-0649,,,,San Juan,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,Crystal,,,Material & Service,,0,2023-07-09 09:46:26,2023-07-09 09:47:17,1,0.00,No,No,,No,0.00
All Company,All Division,2997,HANDY TOOLZ LIMITED,,,AREA,RIVULET BRANCH ROAD INDIAN TRAIL COUVA,,,0,,689-2120,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-09-09 14:18:43,,1,0.00,No,No,,No,0.00
All Company,All Division,2438,Hardline Marketing Limited,,,AREA,5A Lower Couva Road,Preysal,,0,,228-2755,,kenny_thomas@hotmail.com,,,Couva,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-01-21 09:59:48,,1,0.00,No,No,,No,0.00
All Company,All Division,2269,HARRICRETE CEMENT LTD,,,AREA,LAS LOMAS #2 JANKIE TRACE,,,0,,235-5552,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-11-08 16:50:40,,1,0.00,No,No,,No,0.00
All Company,All Division,1883,Henckels Hardware,,,AREA,38 St. James Street,,,0,,652-2473,,,,,San Fernando,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-06-07 17:03:28,2024-11-23 08:08:42,1,0.00,No,No,,No,0.00
All Company,All Division,1371,Idrees Marketing Limited,,,AREA,#9 Forsis Avenue,Old Southern Main Road,,0,,673-6178,360-4603,idreesmarketing@hotmail.com,,,"St Marys, Freeport",,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-02-04 07:55:30,2024-07-23 12:43:50,1,0.00,No,No,,No,0.00
All Company,All Division,2070,INTERCHEM,,,AREA,9TH AVE SOUTH BARATARIA,,,0,,235-2436,746-9440,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-08-12 16:05:13,,1,0.00,No,No,,No,0.00
All Company,All Division,1730,Island Roofing & Hardware Solutions Ltd,,,AREA,291 Southern Main Road,,,0,,,672-7663,,,,Cunupia,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-04-26 15:14:06,2025-02-18 14:21:11,1,0.00,No,No,,No,0.00
All Company,All Division,738,JDR WHOLESALE,,,AREA,8-10 KNIGHTSBRIDGE RD CASCADE,,,0,,624-7093,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-19 14:03:18,,1,0.00,No,No,,No,0.00
All Company,All Division,2544,Jeiovane Marketing Limited,,,AREA,97 Omeara South Arima,,,0,,461-4000,338-8575,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-03-01 12:02:47,,1,0.00,No,No,,No,0.00
All Company,All Division,661,Joes Trading,,,AREA,,,,0,,467-1713,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-08 15:39:37,2023-09-17 08:05:56,1,0.00,No,No,,No,0.00
All Company,All Division,1579,Judy & Allans General Contractors,,,AREA,San Francique Road,,,0,,,718-3211,,,,Penal,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-03-19 12:42:39,,1,0.00,No,No,,No,0.00
All Company,All Division,770,K & C Dixon Ltd,,,AREA,679-3584 44 Milton Road Balmain Couva,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-22 15:41:37,,1,0.00,No,No,,No,0.00
All Company,All Division,597,K&S WHOLESALERS LTD,,,AREA,30 WELLINGTON ROAD DEBE,,,0,,,647-5693,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-26 10:07:29,2024-05-21 13:54:57,1,0.00,No,No,,No,0.00
All Company,All Division,348,Kais manufacturing limited,,,AREA,#9 ramdass str charles str Gasparillo,,,0,,398-0540,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,30,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-20 10:24:20,,1,0.00,No,No,,No,0.00
All Company,All Division,170,Kaleidoscope,,,AREA,Churchill Roosevelt highway El Soccorro,,,0,,638-2213,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,Andre,,,Material & Service,,0,2023-07-03 12:03:45,,1,0.00,No,No,,No,0.00
All Company,All Division,1902,Kanico Limited,,,AREA,,,,0,,,650-4477,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-06-14 08:02:04,,1,0.00,No,No,,No,0.00
All Company,All Division,2667,KCSL Auto Parts Ltd,,,AREA,FREEPORT,,,0,,,272-8576,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-04-19 10:58:34,,1,0.00,No,No,,No,0.00
All Company,All Division,389,Kelton Pooran Manufacturing limited,,,AREA,44 Bay Rd Bamboo village La Romain,,,0,,289-2513,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-25 14:16:42,,1,0.00,No,No,,No,0.00
All Company,All Division,155,Kelvin Ghany Enterprises Limited,,,AREA,,,,0,,,776-6325,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Sophia,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:32:49,,1,0.00,No,No,,No,0.00
All Company,All Division,706,KOAN Limited,,,AREA,,,,0,,,,info@koantt.com,,,Charlieville,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-15 11:33:06,,1,0.00,No,No,,No,0.00
All Company,All Division,823,KRIS MARKETING LTD,,,AREA,577 ROCHARD RD BARRACKPORE,,,0,,355-2527,681-5037,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-30 15:31:19,2024-09-27 11:32:39,1,0.00,No,No,,No,0.00
All Company,All Division,2024,La Romain Discount Hardware,,,AREA,#338 Southern Main Road,,,0,,657-2437,,,,,La Romain,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-07-26 13:22:31,,1,0.00,No,No,,No,0.00
All Company,All Division,266,Liqui-Pure Solutions,,,AREA,67 Houssa Trace,Lightbourne Road,,0,,491-3000,,liquipuresolutions@gmail.com,,,Gasparillo,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-09 09:34:23,,1,0.00,No,No,,No,0.00
All Company,All Division,252,LJ Williams Limited,,,AREA,6th Ave Barataria,,,0,,674-1500,,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,30,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,Maria,,,Material & Service,,0,2023-07-07 10:38:44,2023-09-17 08:07:07,1,0.00,No,No,,No,0.00
All Company,All Division,2556,M .Kassim & Sons Ltd,,,AREA,SMR California,,,0,,488-3555,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-03-10 13:17:30,,1,0.00,No,No,,No,0.00
All Company,All Division,169,M Seebalack Hardware Ltd,,,AREA,323-329 Rochard Rd Penal,,,0,,654-1234,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Jeewan,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:59:08,,1,0.00,No,No,,No,0.00
All Company,All Division,610,M.E.T. WHOLESALE LTD,,,AREA,10-12 Nanan Trace,,,0,,868-675-8486,,,,,Aranguez,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-29 09:11:38,,1,0.00,No,No,,No,0.00
All Company,All Division,2018,Maska Limited,,,AREA,South Trunk Road Gulf View La Romain,,,0,,231-8891/7857,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,RICHARD,,,Material & Service,,0,2024-07-24 15:25:21,,1,0.00,No,No,,No,0.00
All Company,All Division,3084,Mathew Industries Ltd,,,AREA,,,,0,,,,,,,Balmain,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-10-17 14:22:40,,1,0.00,No,No,,No,0.00
All Company,All Division,390,Mecca Industries Limited,,,AREA,320 Cipero Street San fernando,,,0,,225-5000,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-25 14:23:01,2025-05-29 16:28:36,1,0.00,No,No,,No,0.00
All Company,All Division,731,MEGA TRADERS LIMITED,,,AREA,81 CIPERO STREET SAN FERNANDO,,,0,,,652-4292,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,PETER,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-18 12:29:00,,1,0.00,No,No,,No,0.00
All Company,All Division,294,Micro Milling Limited,,,AREA,P.O. box 4235,,,0,,659-4547,,,,,Claxton Bay,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-13 09:54:44,,1,0.00,No,No,,No,0.00
All Company,All Division,634,Miguel Moses,,,AREA,Lot #3 Chootoo Road,El Socorro Ext #2,,0,,674-4186,,,,,San Juan,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-02 08:53:33,,1,0.00,No,No,,No,0.00
All Company,All Division,1666,Mitsuda Ltd,,,AREA,Freeman Road,,,0,,482-5000,,,,,St Augustine Trinidad,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-04-12 09:11:58,,1,0.00,No,No,,No,0.00
All Company,All Division,161,Modern Electrical Suppliers Limited,,,AREA,#71 Edinburgh Village Chaguanas,,,0,,672-7170/7171,735-4888,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,NICHOLAS,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:44:55,,1,0.00,No,No,,No,0.00
All Company,All Division,563,N RAMRATTAN HARDWARE AND GEN SUPPLIES LTD,,,AREA,#1 PARAS AVE HIGH STR RIO CLARO,,,0,,644-0327,,ramrattanhardware@yahoo.com,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,LINDA,,30,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-18 15:12:12,,1,0.00,No,No,,No,0.00
All Company,All Division,317,Nahous,,,AREA,,,,0,,,274-5630,,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-14 16:37:04,2023-09-17 08:05:00,1,0.00,No,No,,No,0.00
All Company,All Division,758,NARVIC ENTERPRISES LIMITED,,,AREA,#239 S.S ERIN RD PENAL,,,0,,647-6956,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-21 15:21:30,,1,0.00,No,No,,No,0.00
All Company,All Division,117,New Wave Marketing ltd,,,AREA,Calcutta Settlement rd #3 Mc Bean,,,0,,679-3118,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,Ask while Billing,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-06-22 10:44:17,2023-07-03 12:02:17,1,0.00,No,No,,No,0.00
All Company,All Division,746,NORREK MARKETING LIMITED,,,AREA,#9 RAMDASS STR CHARLES STREET GASPARILLO,,,0,,398-0540,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-20 13:14:11,,1,0.00,No,No,,No,0.00
All Company,All Division,662,NWT Enterprises Ltd,,,AREA,#1 Global Avenue Aranguez,,,0,,612-4698,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-09-08 15:57:07,,1,0.00,No,No,,No,0.00
All Company,All Division,3106,Oilfield & Industrial Hardware,,,AREA,248 SMR San Fernando,,,0,,,658-2133,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-10-27 15:33:28,,1,0.00,No,No,,No,0.00
All Company,All Division,1960,Package Depot,,,AREA,,,,0,,,329-2661,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-07-03 16:23:25,,1,0.00,No,No,,No,0.00
All Company,All Division,857,PARADISE POOLS & SPA LTD,,,AREA,11 LA PASTORA ROAD SANTA CRUZ,,,0,,221-5836,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-05 14:44:07,,1,0.00,No,No,,No,0.00
All Company,All Division,589,PARADISE POOLS & SPAS LTD,,,AREA,11 LA PASTORA RD SANTA CRUZ,,,0,,221-5836/298-3581,,paradisepoolsspas@hotmail.com,,,,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-08-24 16:03:51,2023-08-27 11:04:03,1,0.00,No,No,,No,0.00
All Company,All Division,1500,Patrick Young Sing And Company Limited,,,AREA,,,,0,,,365-8083,,,,Caroni,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,Russell,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-03-05 16:36:34,,1,0.00,No,No,,No,0.00
All Company,All Division,2728,Pennywise,,,AREA,Chaguanas,,,0,,612-3689,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-05-16 16:33:08,,1,0.00,No,No,,No,0.00
All Company,All Division,2164,Petroquip Industrial Co. Ltd,,,AREA,152 SMR Bamboo Village La Romain,,,0,,652-6749,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,CHARLES,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-09-24 09:24:26,,1,0.00,No,No,,No,0.00
All Company,All Division,1969,Petroquip Industrial Co. Ltd.,,,AREA,,,,0,,291-7371,,,,,La Romaine,,,Cash,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2024-07-05 12:20:37,,1,0.00,No,No,,No,0.00
All Company,All Division,545,PILLAI TOOLS COMPANY LIMITED,,,AREA,LOT 36 MIDWAY EL SOCORRO ROAD SAN JUAN,,,0,,638-3722/ SHANE,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,SHANE OFFICE,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,SURESH,,,Material & Service,,0,2023-08-17 14:45:27,2024-06-11 14:55:24,1,0.00,No,No,,No,0.00
All Company,All Division,3026,Pionare Enterprises Limited,,,AREA,,,,0,,,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2025-09-23 17:22:44,,1,0.00,No,No,,No,0.00
All Company,All Division,163,PKs Distributors Ltd,,,AREA,70 Mc Inroy Street Curepe,,,0,,721-7594,681-3067,pksdistributorsltd@yahoo.com,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-07-03 11:48:59,,1,0.00,No,No,,No,0.00
All Company,All Division,1004,POINT LISAS STEEL PRODUCTS LIMITED,,,AREA,401 PT LISAS INDUSTRIAL ESTATE,,,0,,636-7991,,,,,,,,Credit,,,,,,Both,Active,HARDWARE,,Local,With C-Form,NA,,,,0,0.00,0.00,0.00,0.00,0,,,0.00,0,No,NO,No,No,No,No,No,No,,,,,Material & Service,,0,2023-10-29 09:15:33,,1,0.00,No,No,,No,0.00
